---,Name,Star,SemiMajorAu,Eccentricity,InclinationDeg,PeriodDays,RadiusEarth,MassEarth,EqTempK,DiscoveryYear
Kepler_407_c,Kepler-407 c,Kepler_407,3.2709,0.221479,90,3000,12.3,4000,146.73,2014
Kepler_408_b,Kepler-408 b,Kepler_408,0.03592,0,87.51,2.46502,0.82,5,1561,2014
Kepler_409_b,Kepler-409 b,Kepler_409,0.3192,0.69,86.3,68.9583,1.199,6,438,2014
Kepler_41_b,Kepler-41 b,Kepler_41,0.03101,0,82.51,1.85556,14.46,177.98,1790,2011
Kepler_410_A_b,Kepler-410 A b,Kepler_410_A,0.1226,0.17,87.72,17.8336,2.838,8.44,866,2013
Kepler_411_b,Kepler-411 b,Kepler_411,0.0375,0.146,87.4,3.00516,2.401,25.6,1138,2013
Kepler_411_c,Kepler-411 c,Kepler_411,0.0739,0.108,88.61,7.83444,4.421,26.4,838,2016
Kepler_411_e,Kepler-411 e,Kepler_411,0.186,0.016,88.04,31.5097,3.28,10.8,503,2018
Kepler_411_d,Kepler-411 d,Kepler_411,0.279,0.128,89.43,58.0204,3.319,15.2,410,2018
Kepler_412_b,Kepler-412 b,Kepler_412,0.02897,0.0038,80.559,1.72086,15.0313,299.078,1850,2014
Kepler_413_b,Kepler-413 b,Kepler_413,0.3553,0.1181,89.929,66.262,4.347,67,334.96,2014
Kepler_414_b,Kepler-414 b,Kepler_414,0.0543,0,89.45,4.7,1.71,3.5,1024,2014
Kepler_414_c,Kepler-414 c,Kepler_414,0.07195,0,89.43,7.171,3.01,29.9,890,2014
Kepler_415_b,Kepler-415 b,Kepler_415,0.0426,0,89.41,4.176,1.21,119.9,694,2014
Kepler_415_c,Kepler-415 c,Kepler_415,0.0695,0,89.87,8.708,2.01,4.7,543,2014
Kepler_416_d,Kepler-416 d,Kepler_416,0.0407,0,83.78,3.07645,1.61,3.22,1253,2023
Kepler_416_b,Kepler-416 b,Kepler_416,0.0674,0,85.42,6.319,2.48,58.2,986,2014
Kepler_416_c,Kepler-416 c,Kepler_416,0.10454,0,86.99,12.209,2.352,6.13,791,2014
Kepler_417_b,Kepler-417 b,Kepler_417,0.1006,0,89.98,12.331,2.31,11,671,2014
Kepler_417_c,Kepler-417 c,Kepler_417,0.1194,0,89.96,15.943,2.69,7.7,616,2014
Kepler_418_c,Kepler-418 c,Kepler_418,0.10632,0,88.15,12.2183,5.22109,23.7,835,2021
Kepler_418_b,Kepler-418 b,Kepler_418,0.39249,0.2,89.952,86.6786,13.45,349.611,434,2014
Kepler_419_b,Kepler-419 b,Kepler_419,0.37,0.833,88.95,69.7546,10.8,794.5,613,2014
Kepler_419_c,Kepler-419 c,Kepler_419,1.68,0.184,88,675.47,12.6,2320.1,315.55,2014
Kepler_42_c,Kepler-42 c,Kepler_42,0.006,0,81.11,0.453285,0.73,60.337,720,2011
Kepler_42_b,Kepler-42 b,Kepler_42,0.0116,0.04,85.57,1.21377,0.78,0.705944,519,2011
Kepler_42_d,Kepler-42 d,Kepler_42,0.0154,0.02,88.02,1.86517,0.57,0.357785,450,2011
Kepler_421_b,Kepler-421 b,Kepler_421,1.219,0.041,89.965,704.198,4.16,16.1,185,2014
Kepler_422_b,Kepler-422 b,Kepler_422,0.082,0,88.3,7.89145,12.89,136.66,1028,2014
Kepler_423_b,Kepler-423 b,Kepler_423,0.03585,0.019,87.828,2.68433,13.361,189.101,1605,2014
Kepler_424_b,Kepler-424 b,Kepler_424,0.044,0,84.68,3.31186,9.98,327.35,1116,2014
Kepler_424_c,Kepler-424 c,Kepler_424,0.73,0,90,223.3,12.7,2215.18,298.76,2014
Kepler_425_b,Kepler-425 b,Kepler_425,0.0464,0.33,87.02,3.79702,10.962,79.45,1070,2014
Kepler_426_b,Kepler-426 b,Kepler_426,0.0414,0.18,85.74,3.21752,12.22,108.06,1300,2014
Kepler_427_b,Kepler-427 b,Kepler_427,0.091,0.57,89.5,10.291,13.79,92.17,1100,2014
Kepler_428_b,Kepler-428 b,Kepler_428,0.0433,0.22,89.36,3.52563,12.11,403.63,1070,2014
Kepler_43_b,Kepler-43 b,Kepler_43,0.046,0.017,84.646,3.02409,13.6638,1026.59,1620,2011
Kepler_430_b,Kepler-430 b,Kepler_430,0.2244,0,88.97,35.968,3.25,10.6,667,2015
Kepler_430_c,Kepler-430 c,Kepler_430,0.4757,0,89.94,110.979,1.75,3.71,458,2015
Kepler_431_b,Kepler-431 b,Kepler_431,0.0719,0,80.51,6.803,0.764,0.37,1032,2015
Kepler_431_c,Kepler-431 c,Kepler_431,0.0847,0,82.35,8.703,0.668,0.229,951,2015
Kepler_431_d,Kepler-431 d,Kepler_431,0.1045,0,82.51,11.922,1.11,1.41,856,2015
Kepler_432_b,Kepler-432 b,Kepler_432,0.301,0.5134,88.17,52.5011,12.8343,1719.46,812,2015
Kepler_432_c,Kepler-432 c,Kepler_432,-1,0.498,90,406.2,13.3,772.327,-1,2015
Kepler_433_b,Kepler-433 b,Kepler_433,0.0679,0.119,89.21,5.33408,16.25,896.24,1776,2015
Kepler_434_b,Kepler-434 b,Kepler_434,0.1143,0.131,86.46,12.8747,12.67,908.96,1000,2015
Kepler_435_b,Kepler-435 b,Kepler_435,0.0948,0.114,85.51,8.60015,22.31,266.97,1729,2015
Kepler_436_c,Kepler-436 c,Kepler_436,0.11452,0,87.02,16.7971,2.33,6.04,503,2016
Kepler_436_b,Kepler-436 b,Kepler_436,0.339,0.19,89.93,64.002,2.73,7.9,322,2015
Kepler_437_b,Kepler-437 b,Kepler_437,0.288,0.02,89.9,66.6506,2.14,5.22,308,2015
Kepler_438_b,Kepler-438 b,Kepler_438,0.166,0.03,89.86,35.2332,1.12,1.46,288,2015
Kepler_439_b,Kepler-439 b,Kepler_439,0.563,0.03,89.95,178.14,2.24,5.65,291,2015
Kepler_44_b,Kepler-44 b,Kepler_44,0.0446,0.066,84.96,3.24673,12.22,317.82,1544,2011
Kepler_440_b,Kepler-440 b,Kepler_440,0.242,0.34,89.93,101.111,1.86,4.12,229,2015
Kepler_441_b,Kepler-441 b,Kepler_441,0.64,0.1,89.97,207.248,1.64,3.33,189,2015
Kepler_442_b,Kepler-442 b,Kepler_442,0.409,0.04,89.94,112.305,1.34,2.36,241,2015
Kepler_443_b,Kepler-443 b,Kepler_443,0.495,0.11,89.94,177.669,2.33,6.04,233,2015
Kepler_444_b,Kepler-444 b,Kepler_444,0.04178,0.16,88,3.60011,0.403,0.0374,938,2015
Kepler_444_c,Kepler-444 c,Kepler_444,0.04881,0.31,88.2,4.54588,0.497,0.0793,868,2015
Kepler_444_d,Kepler-444 d,Kepler_444,0.06,0.18,88.16,6.18939,0.53,0.2,783,2015
Kepler_444_e,Kepler-444 e,Kepler_444,0.0696,0.1,89.13,7.74349,0.546,0.1,727,2015
Kepler_444_f,Kepler-444 f,Kepler_444,0.0811,0.29,87.96,9.74049,0.741,0.332,673,2015
Kepler_445_b,Kepler-445 b,Kepler_445,0.0217,0,89.74,2.98415,1.58,3.12,401,2015
Kepler_445_c,Kepler-445 c,Kepler_445,0.0301,0,89.91,4.87123,2.51,6.85,341,2015
Kepler_445_d,Kepler-445 d,Kepler_445,0.0439,0,89.61,8.15275,1.25,2.1,305,2015
Kepler_446_b,Kepler-446 b,Kepler_446,0.0182,0,87.42,1.56541,1.5,2.86,648,2015
Kepler_446_c,Kepler-446 c,Kepler_446,0.0283,0,88.97,3.03618,1.11,1.41,520,2015
Kepler_446_d,Kepler-446 d,Kepler_446,0.0403,0,88.72,5.14892,1.35,2.39,436,2015
Kepler_447_b,Kepler-447 b,Kepler_447,0.0769,0.123,86.55,7.7943,18.49,435.41,882,2015
Kepler_449_b,Kepler-449 b,Kepler_449,0.1027,0.03,89.83,12.5824,2.056,4.88,917,2015
Kepler_449_c,Kepler-449 c,Kepler_449,0.1979,0.05,89.41,33.6727,2.764,8.07,661,2015
Kepler_45_b,Kepler-45 b,Kepler_45,0.03,0.11,87,2.45524,10.76,160.497,1000,2011
Kepler_450_d,Kepler-450 d,Kepler_450,0.0827,0.14,87.91,7.51464,0.837,17.6,1199,2015
Kepler_450_c,Kepler-450 c,Kepler_450,0.13351,0.02,88.73,15.4131,2.62,12.5,944,2015
Kepler_450_b,Kepler-450 b,Kepler_450,0.20092,0.02,88.82,28.4549,6.14,19.4,769,2015
Kepler_452_b,Kepler-452 b,Kepler_452,1.046,0,89.806,384.843,1.63,3.29,265,2015
Kepler_453_b,Kepler-453 b,Kepler_453,0.7903,0.0359,89.4429,240.503,6.204,16,273.62,2015
Kepler_454_b,Kepler-454 b,Kepler_454,0.09528,0.32,87.9,10.5738,2.37,5.4,916,2015
Kepler_454_c,Kepler-454 c,Kepler_454,1.287,0.0053,90,524.19,12.9,1433.41,249.58,2015
Kepler_454_d,Kepler-454 d,Kepler_454,5.1,0.089,90,4073,13.3,734.184,125.37,2023
