---,Name,Star,SemiMajorAu,Eccentricity,InclinationDeg,PeriodDays,RadiusEarth,MassEarth,EqTempK,DiscoveryYear
11_Com_b,11 Com b,11_Com,1.178,0.238,90,323.21,12.2,4914.9,803.26,2007
11_UMi_b,11 UMi b,11_UMi,1.53,0.08,90,516.22,12.3,4684.81,896.43,2009
14_And_b,14 And b,14_And,0.775,0,90,186.76,13.1,1131.15,909.92,2008
14_Her_b,14 Her b,14_Her,2.839,0.3683,146.7,1766.41,12.5,2828.67,147.32,2002
HD_145675_c,HD 145675 c,14_Her,20,0.52,116.3,15732.5,12.6,2510.84,55.51,2021
16_Cyg_B_b,16 Cyg B b,16_Cyg_B,1.66,0.68,90,798.5,13.5,565.737,228.76,1996
17_Sco_b,17 Sco b,17_Sco,1.45,0.06,90,578.38,12.9,1373.02,847.51,2020
18_Del_b,18 Del b,18_Del,2.476,0.024,90,982.85,12.5,2926.25,452.72,2008
1RXS_J160929_1_210524_b,1RXS J160929.1-210524 b,1RXS_J160929_1_210524,330,0,90,-1,18.647,3000,1700,2008
24_Boo_b,24 Boo b,24_Boo,0.194,0.032,90,30.33,13.9,280.642,1840.86,2018
24_Sex_b,24 Sex b,24_Sex,1.333,0.09,90,452.8,13.4,632.46,471.32,2010
24_Sex_c,24 Sex c,24_Sex,2.08,0.29,90,883,13.9,273.32,377.31,2010
2MASS_J01033563_5515561_AB_b,2MASS J01033563-5515561 AB b,2MASS_J01033563_5515561_A,84,0,90,-1,12.3,4131.79,-1,2013
2MASS_J01225093_2439505_b,2MASS J01225093-2439505 b,2MASS_J01225093_2439505,52,0,90,-1,11.209,7786.5,1600,2013
2MASS_J02192210_3925225_b,2MASS J02192210-3925225 b,2MASS_J02192210_3925225,156,0,90,-1,16.141,4417.84,6.27,2015
2MASS_J0249_0557_c,2MASS J0249-0557 c,2MASS_J0249_0557_A,1950,0,90,-1,17.3739,3616.89,1723,2018
2MASS_J03590986_2009361_b,2MASS J03590986+2009361 b,2MASS_J03590986_2009361,572,0,90,-1,12.2,5720.91,2369,2024
2M0437_b,2M0437 b,2MASS_J04372171_2651014,118,0,90,-1,13,1271.31,1450,2021
2MASS_J04414489_2301513_b,2MASS J04414489+2301513 b,2MASS_J04414489_2301513,15,0,90,-1,12.6,2383.6,17.6,2010
2MASS_J11011926_7732383_b,2MASS J11011926-7732383 b,2MASS_J11011926_7732383,266,0,90,-1,11.9,8899.2,2677,2024
2MASS_J11550485_7919108_b,2MASS J11550485-7919108 b,2MASS_J11550485_7919108,587,0,90,-1,12.1,6356.57,2506,2024
2MASS_J12073346_3932539_b,2MASS J12073346-3932539 b,2MASS_J12073346_3932539,46,0,90,-1,15.6926,1652.71,1163,2004
KOINTREAU_4_b,KOINTREAU-4 b,2MASS_J16262785_2625152,182,0,90,-1,12.2,4862.77,-1,2026
2MASS_J19383260_4603591_b,2MASS J19383260+4603591 b,2MASS_J19383260_4603591,0.92,0.33,90,406,13.4,603.877,669.65,2015
Kepler_451_d,Kepler-451 d,2MASS_J19383260_4603591,-1,0,90,43,13.5,559.378,-1,2022
Kepler_451_c,Kepler-451 c,2MASS_J19383260_4603591,-1,0.29,90,1460,13.5,511.704,-1,2022
2MASS_J21252752_8138278_b,2MASS J21252752-8138278 b,2MASS_J21252752_8138278,7493,0,90,-1,12.4,3813.94,1616,2024
2MASS_J22362452_4751425_b,2MASS J22362452+4751425 b,2MASS_J22362452_4751425,230,0,90,-1,12.3,3972.88,10.3,2016
2MASS_J22501512_2325342_b,2MASS J22501512+2325342 b,2MASS_J22501512_2325342,518,0,90,-1,11.9,9534.85,1600,2018
4_UMa_b,4 UMa b,4_UMa,0.877,0.453,90,270.27,12.6,2511.48,967.44,2006
47_UMa_b,47 UMa b,47_UMa,2.1,0.032,90,1078,13.2,804.08,215.23,1996
47_UMa_c,47 UMa c,47_UMa,3.6,0.098,90,2391,14.2,171.621,164.38,2001
47_UMa_d,47 UMa d,47_UMa,11.6,0.16,90,14002,13.5,521.22,91.58,2009
51_Eri_b,51 Eri b,51_Eri,10.4,0.57,141,9100,-1,3464.33,807,2015
51_Peg_b,51 Peg b,51_Peg,0.052,0.0063,49.8,4.2308,14.1,193.875,1328.93,1995
55_Cnc_e,55 Cnc e,55_Cnc,0.01544,0.05,83.59,0.736547,1.875,7.99,1958,2004
55_Cnc_b,55 Cnc b,55_Cnc,0.118,0.0029,89.73,14.6516,13.9,263.978,700,1996
55_Cnc_c,55 Cnc c,55_Cnc,0.247,0.088,89.73,44.3936,8.51,54.4738,499.27,2004
55_Cnc_f,55 Cnc f,55_Cnc,0.802,0.063,89.73,260.58,7.59,44.812,277.07,2007
55_Cnc_d,55 Cnc d,55_Cnc,5.6,0.0913,89.73,4799,13,1232.49,104.85,2002
55_Cnc_B_b,55 Cnc B b,55_Cnc_B,0.044,0,90,6.7994,1.69,3.5,395.41,2025
55_Cnc_B_c,55 Cnc B c,55_Cnc_B,0.13,0,90,33.747,2.16,5.3,230.04,2025
6_Lyn_b,6 Lyn b,6_Lyn,2.028,0.042,90,919.86,13.4,597.835,371.86,2008
61_Vir_b,61 Vir b,61_Vir,0.050201,0.12,90,4.215,2.11,5.1,1177.85,2009
61_Vir_c,61 Vir c,61_Vir,0.2175,0.14,90,38.021,4.46,18.2,565.87,2009
61_Vir_d,61 Vir d,61_Vir,0.476,0.35,90,123.01,5.11,22.9,382.51,2009
7_CMa_b,7 CMa b,7_CMa,1.758,0.06,90,735.1,13.4,587.986,387.33,2011
7_CMa_c,7 CMa c,7_CMa,2.153,0.08,90,996,13.9,276.512,350,2019
70_Vir_b,70 Vir b,70_Vir,0.481,0.3988,90,116.688,12.6,2380.45,525.24,1996
75_Cet_b,75 Cet b,75_Cet,1.912,0.093,90,696.62,13.3,787.897,540.31,2012
75_Cet_c,75 Cet c,75_Cet,3.929,0.023,90,2051.62,13.9,289.86,376.92,2023
8_UMi_b,8 UMi b,8_UMi,0.462,0.062,90,93.31,13.5,524.417,1126.38,2015
81_Cet_b,81 Cet b,81_Cet,2.104,0.037,90,1005.57,13.1,1051.06,526.92,2008
91_Aqr_b,91 Aqr b,91_Aqr,0.7,0.027,90,181.4,13.1,1017,891.73,2013
AB_Aur_b,AB Aur b,AB_Aur,93.9,0.4,42.6,-1,12.5,2860.46,83.63,2022
AB_Pic_b,AB Pic b,AB_Pic,260,0,90,-1,12.3,4290.5,15.8,2005
AF_Lep_b,AF Lep b,AF_Lep,8.996,0.015,57.5,8905,13,1147.36,1400,2023
AT2021ueyL_b,AT2021ueyL b,AT2021ueyL,4.01,0,90,4168.69,13.6,425.89,-1,2025
AU_Mic_b,AU Mic b,AU_Mic,0.07,0.07,88.39,8.46345,4.79,8.99,554.8,2020
AU_Mic_c,AU Mic c,AU_Mic,0.119,0.18,89.46,18.859,2.79,14.46,424.7,2021
AU_Mic_d,AU Mic d,AU_Mic,-1,0.00305,89.3181,12.736,1.02,1.053,-1,2023
AU_Mic_e,AU Mic e,AU_Mic,-1,0,90,33.11,4.87,21.1,-1,2025
BD_03_2562_b,BD+03 2562 b,BD_03_2562,1.3,0.2,90,481.9,12.7,2034.11,985.04,2017
BD_05_4868_A_b,BD+05 4868 A b,BD_05_4868_A,0.0208,0,90,1.27187,-1,6.2,1820,2025
BD_14_4559_b,BD+14 4559 b,BD_14_4559,0.78,0.29,90,268.94,13.8,330.543,246.28,2009
BD_15_2375_b,BD+15 2375 b,BD_15_2375,0.576,0.001,90,153.22,13.8,337.218,883.68,2016
BD_15_2940_b,BD+15 2940 b,BD_15_2940,0.539,0.26,90,137.48,13.7,352.78,1207.75,2013
BD_20_2457_b,BD+20 2457 b,BD_20_2457,1.45,0.15,90,379.63,12.1,6807.63,1159.67,2009
BD_20_2457_c,BD+20 2457 c,BD_20_2457,2.01,0.18,90,621.99,12.4,3963.17,984.96,2009
BD_20_274_b,BD+20 274 b,BD_20_274,1.3,0.21,90,578.2,13,1334.89,755.7,2012
BD_20_594_b,BD+20 594 b,BD_20_594,0.241,0,89.55,41.6855,2.57807,22.2481,546,2016
BD_37_3172_b,BD+37 3172 b,BD_37_3172,4.65,0.59,90,1887.76,12.4,3368.98,713.25,2023
BD_42_2315_b,BD+42 2315 b,BD_42_2315,0.54,0.73,90,123.05,14.2,174.806,1247.58,2023
BD_45_564_b,BD+45 564 b,BD_45_564,0.83,0.12,2.579,307.88,13.6,432.247,238.82,2021
BD_48_738_b,BD+48 738 b,BD_48_738,1,0.2,90,392.6,13.9,289.225,705.93,2011
BD_48_740_b,BD+48 740 b,BD_48_740,1.7,0.76,90,733,13.5,540.311,538.94,2018
BD_49_828_b,BD+49 828 b,BD_49_828,4.2,0.35,90,2590,13.5,508.5,320.63,2015
BD_55_362_b,BD+55 362 b,BD_55_362,0.78,0.27,0.6012,265.59,14,228.836,259.06,2021
BD_60_1417_b,BD+60 1417 b,BD_60_1417,1662,0,90,-1,14.6838,4767.43,1303,2021
BD_63_1405_b,BD+63 1405 b,BD_63_1405,2.06,0.88,5.974,1198.48,12.4,3305.42,150.69,2021
BD_06_1339_b,BD-06 1339 b,BD_06_1339,0.0428,0,0.3243,3.8728,-1,1523.03,834.97,2013
BD_06_1339_c,BD-06 1339 c,BD_06_1339,0.435,0.31,90,125.94,8.38,53,261.91,2013
BD_08_2823_b,BD-08 2823 b,BD_08_2823,0.06,0.15,0.2746,5.6,-1,2948.49,798.86,2009
BD_08_2823_c,BD-08 2823 c,BD_08_2823,0.68,0.19,90,237.6,12.5,104,233.85,2009
BD_10_3166_b,BD-10 3166 b,BD_10_3166,0.04,0.02,90,3.48777,14.1,187.52,1240.38,2000
BD_11_4672_c,BD-11 4672 c,BD_11_4672,0.3,0.4,90,74.2,4.04,15.37,320.21,2020
BD_11_4672_b,BD-11 4672 b,BD_11_4672,2.36,0.05,90,1634,14.1,206.589,114.17,2014
BD_13_2130_b,BD-13 2130 b,BD_13_2130,1.66,0.21,90,714.3,12.5,3108.38,744.77,2007
BD_14_3065_b,BD-14 3065 b,BD_14_3065_A,0.0656,0.066,80.78,4.28897,21.59,3932,2001,2024
BD_17_63_b,BD-17 63 b,BD_17_63,1.34,0.5439,80,655.57,12.8,1639.99,168.92,2008
BD_210397_b,BD-210397 b,BD_210397,2.63,0.1,90,1891,14,214,104.11,2023
BD_210397_c,BD-210397 c,BD_210397,5.9,0.43,33,6240,12.9,1525.58,69.51,2023
BEBOP_3_b,BEBOP-3 b,BEBOP_3,1.444,0.247,90,547,14.2,177.348,287.88,2025
BEBOP_4_AB_b,BEBOP-4 AB b,BEBOP_4_A,3.634,0.428,90,1823.5,-1,8358.89,239.44,2025
Barnard_d,Barnard d,Barnard_s_star,0.0188,0.04,90,2.3402,0.694,0.263,483,2025
Barnard_b,Barnard b,Barnard_s_star,0.0229,0.03,90,3.1542,0.72,0.299,438,2024
Barnard_c,Barnard c,Barnard_s_star,0.0274,0.08,90,4.1244,0.743,0.335,400,2025
Barnard_e,Barnard e,Barnard_s_star,0.0381,0.04,90,6.7392,0.637,0.193,340,2025
CD_Cet_b,CD Cet b,CD_Cet,0.0185,0,87.48,2.2907,1.82,3.95,464,2020
CD_35_2722_B_b,CD-35 2722 B b,CD_35_2722_B,0.2,0.27,90,171.11,13.9,292.402,77.39,2026
CFBDSIR_J145829_101343_b,CFBDSIR J145829+101343 b,CFBDSIR_J145829_101343,2.6,0,90,10037.5,12.4,3337.1,370,2011
CFHTWIR_Oph_98_b,CFHTWIR-Oph 98 b,CFHTWIR_Oph_98_A,200,0,90,8.04e+06,20.8487,2479.06,1800,2020
CHXR_73_b,CHXR 73 b,CHXR_73,210,0,90,-1,12.3,3994.49,-1,2006
CI_Tau_c,CI Tau c,CI_Tau,0.17,0.58,90,25.2,13,1144.18,610.62,2024
COCONUTS_2_b,COCONUTS-2 b,COCONUTS_2_A,7506,0,90,4.02e+08,12.5765,2383.71,493,2021
CT_Cha_b,CT Cha b,CT_Cha,440,0,90,-1,24.66,5403,2600,2007
CWISEP_J193518_59_154620_3_b,CWISEP J193518.59-154620.3 b,CWISEP_J193518_59_154620_3,2.48,0,90,-1,12.2,4926.34,390,2025
CoRoT_1_b,CoRoT-1 b,CoRoT_1,0.02752,0,85.1,1.50896,16.7,327.35,1898,2008
CoRoT_10_b,CoRoT-10 b,CoRoT_10,0.1055,0.53,88.55,13.2406,10.87,874,600,2010
CoRoT_11_b,CoRoT-11 b,CoRoT_11,0.0436,0,83.17,2.99433,16.03,740.51,1657,2010
CoRoT_12_b,CoRoT-12 b,CoRoT_12,0.04016,0.07,85.48,2.82804,16.14,291.438,1442,2010
CoRoT_13_b,CoRoT-13 b,CoRoT_13,0.051,0,88.02,4.03519,9.92,415.704,1700,2010
CoRoT_14_b,CoRoT-14 b,CoRoT_14,0.027,0,79.6,1.51214,12.22,2415.4,1952,2010
CoRoT_16_b,CoRoT-16 b,CoRoT_16,0.0618,0.33,85.01,5.35227,13.11,170.032,1195.53,2011
CoRoT_17_b,CoRoT-17 b,CoRoT_17,0.0461,0,88.34,3.7681,11.43,772.29,1626,2011
CoRoT_18_b,CoRoT-18 b,CoRoT_18,0.0295,0.08,86.5,1.90007,14.68,1102.82,1550,2011
CoRoT_19_b,CoRoT-19 b,CoRoT_19,0.0518,0.047,88,3.89713,14.46,352.78,2000,2011
CoRoT_2_b,CoRoT-2 b,CoRoT_2,0.02798,0.0143,88.08,1.74299,16.432,1102.82,1521,2008
CoRoT_20_b,CoRoT-20 b,CoRoT_20,0.09,0.59,88.21,9.24285,9.41556,1366.67,1024,2011
CoRoT_20_c,CoRoT-20 c,CoRoT_20,2.9,0.6,90,1675,12.2,5403.11,168.16,2018
CoRoT_21_b,CoRoT-21 b,CoRoT_21,0.0417,0,86.8,2.72474,14.5717,718.296,2044.44,2012
CoRoT_22_b,CoRoT-22 b,CoRoT_22,0.092,0.077,89.749,9.75598,4.88,12.2,885,2014
CoRoT_23_b,CoRoT-23 b,CoRoT_23,0.048,0.16,85.7,3.6313,11.77,889.9,1660,2011
CoRoT_24_b,CoRoT-24 b,CoRoT_24,0.056,0,86.5,5.1134,3.7,5.7,1070,2014
CoRoT_24_c,CoRoT-24 c,CoRoT_24,0.098,0,89,11.759,5,28,850,2014
CoRoT_25_b,CoRoT-25 b,CoRoT_25,0.0578,0,84.5,4.86069,12.11,85.81,1330,2013
CoRoT_26_b,CoRoT-26 b,CoRoT_26,0.0526,0,86.8,4.20474,14.12,165.26,1600,2013
CoRoT_27_b,CoRoT-27 b,CoRoT_27,0.0476,0.065,86.7,3.57532,11.287,3302.11,1500,2014
CoRoT_28_b,CoRoT-28 b,CoRoT_28,0.0603,0.047,88.1,5.20851,10.7046,153.83,1349.25,2015
CoRoT_29_b,CoRoT-29 b,CoRoT_29,0.0386,0.082,87.3,2.85057,10.0881,270.156,1224.75,2015
CoRoT_3_b,CoRoT-3 b,CoRoT_3,0.05783,0,85.9,4.2568,11.32,6883.91,1695,2008
CoRoT_30_b,CoRoT-30 b,CoRoT_30,0.0844,0.007,90,9.06005,11.3099,921.707,894.6,2020
CoRoT_31_b,CoRoT-31 b,CoRoT_31,0.0586,0.02,83.2,4.62941,16.3651,266.977,1664.86,2020
CoRoT_32_b,CoRoT-32 b,CoRoT_32,0.071,0,89,6.71837,6.38913,47.6745,938,2018
CoRoT_35_b,CoRoT-35 b,CoRoT_35,0.0429,0,84.1,3.22748,18.8311,349.611,1747,2022
CoRoT_36_b,CoRoT-36 b,CoRoT_36,0.066,0,85.83,5.61653,15.8047,216.123,1567,2022
CoRoT_4_b,CoRoT-4 b,CoRoT_4,0.09,0,90,9.20205,13.34,228.83,1074,2008
CoRoT_5_b,CoRoT-5 b,CoRoT_5,0.04947,0.09,85.83,4.0379,15.558,148.42,1438,2009
CoRoT_6_b,CoRoT-6 b,CoRoT_6,0.0855,0.1,89.07,8.88659,13.068,940.74,1017,2009
CoRoT_7_b,CoRoT-7 b,CoRoT_7,0.017016,0,80.1,0.853592,1.68135,4.07661,1756,2009
CoRoT_7_c,CoRoT-7 c,CoRoT_7,0.046,0,80,3.698,2.83,8.4,1098.59,2009
CoRoT_7_d,CoRoT-7 d,CoRoT_7,-1,0,90,8.966,4.31,17.142,-1,2022
CoRoT_8_b,CoRoT-8 b,CoRoT_8,0.063,0,88.4,6.21229,6.39,69.92,870,2010
CoRoT_9_b,CoRoT-9 b,CoRoT_9,0.4021,0.133,89.9,95.2727,11.9488,266.977,420,2009
DE_CVn_b,DE CVn b,DE_CVn,5.75,0,86,4098.1,12.4,3823.27,46.91,2018
DENIS_P_J082303_1_491201_b,DENIS-P J082303.1-491201 b,DENIS_P_J082303_1_491201,0.36,0.345,56.6,246.36,11.9,9057.77,-1,2013
DH_Tau_b,DH Tau b,DH_Tau,330,0,90,-1,30.2643,3496,2200,2004
DMPP_1_d,DMPP-1 d,DMPP_1,0.04467,0.36,90,3.1417,2.02,4.72,1632,2019
DMPP_1_e,DMPP-1 e,DMPP_1,0.0651,0.07,90,5.516,1.86,4.13,1314,2019
DMPP_1_c,DMPP-1 c,DMPP_1,0.0973,0.22,90,10.03,3.31,10.94,1239,2019
DMPP_1_b,DMPP-1 b,DMPP_1,0.1423,0.2,90,17.812,4.26,16.8,877,2019
DMPP_2_c,DMPP-2 c,DMPP_2,0.04789,0.28,90,3.168,8.26,51.79,1910.88,2026
DMPP_2_b,DMPP-2 b,DMPP_2,0.06638,0.06,90,5.203,14.2,171.48,1000,2019
DMPP_2_d,DMPP-2 d,DMPP_2,0.1432,0.1,90,16.491,11.6,91.79,1105.06,2026
DMPP_3_A_b,DMPP-3 A b,DMPP_3_A,0.05958,0.42,90,5.59,1.44,2.67,854,2019
DMPP_4_b,DMPP-4 b,DMPP_4,0.04853,0.063,90,3.4982,3.53,12.2,1645.69,2023
DMPP_6_b,DMPP-6 b,DMPP_6,0.0779,0.34,90,7.6027,2.28,5.8,1203.65,2026
DMPP_6_c,DMPP-6 c,DMPP_6,0.2206,0.31,90,36.441,3.74,13.47,715.27,2026
DMPP_7_b,DMPP-7 b,DMPP_7,0.0607,0.054,90,4.92666,9.78,68.958,1456,2026
DMPP_8_b,DMPP-8 b,DMPP_8,0.3098,0.275,90,62.915,10.8,81.09,579.7,2026
DMPP_9_b,DMPP-9 b,DMPP_9,0.1097,0.25,90,12.733,3.89,14.43,995.58,2026
DP_Leo_b,DP Leo b,DP_Leo,8.19,0.39,90,10220,12.7,1995.89,24.39,2009
DS_Tuc_A_b,DS Tuc A b,DS_Tuc_A,-1,0,89.5,8.13827,5.7,413.179,850,2019
EPIC_201170410_02,EPIC 201170410.02,EPIC_201170410,0.0349,0,89.0025,6.7987,1.047,1.15,500.03,2020
EPIC_201238110_b,EPIC 201238110 b,EPIC_201238110,-1,0,90,28.1656,1.87,4.16,-1,2019
EPIC_201427007_b,EPIC 201427007 b,EPIC_201427007,-1,0,88.5,0.72091,1.5,2.86,-1,2021
EPIC_201497682_b,EPIC 201497682 b,EPIC_201497682,-1,0,90,2.13174,0.692,0.26,-1,2019
EPIC_201595106_b,EPIC 201595106 b,EPIC_201595106,0.0177,0,78.2,0.87724,1.565,7.67,2038,2021
K2_360_c,K2-360 c,EPIC_201595106,0.0883,0.11,90,9.79692,4.02,15.23,912,2024
EPIC_201757695_02,EPIC 201757695.02,EPIC_201757695,0.0296,0,89.2757,2.0478,0.90819,0.688,1025.29,2020
EPIC_201841433_b,EPIC 201841433 b,EPIC_201841433,0.035,0,89.001,4.1698,1.04,1.12,1032.49,2019
EPIC_206024342_c,EPIC 206024342 c,EPIC_206024342,-1,0,91.7,0.911724,1.4,2.54,-1,2021
EPIC_206024342_b,EPIC 206024342 b,EPIC_206024342,-1,0,90,4.50756,1.7,3.53,-1,2019
EPIC_206024342_d,EPIC 206024342 d,EPIC_206024342,-1,0,90,14.6475,2.6,7.27,-1,2021
EPIC_206032309_b,EPIC 206032309 b,EPIC_206032309,-1,0,90,2.87814,1.01,1.01,-1,2019
EPIC_206042996_c,EPIC 206042996 c,EPIC_206042996,-1,0,89.9,0.354884,1.2,1.87,-1,2021
EPIC_206042996_b,EPIC 206042996 b,EPIC_206042996,-1,0,90.5,5.2986,1.7,3.53,-1,2019
EPIC_206215704_b,EPIC 206215704 b,EPIC_206215704,-1,0,89.9,2.25544,1,0.972,-1,2019
EPIC_206317286_b,EPIC 206317286 b,EPIC_206317286,-1,0,90,1.58252,0.96,0.84,-1,2019
EPIC_206317286_c,EPIC 206317286 c,EPIC_206317286,-1,0,90,17.5155,2.094,5.03,-1,2022
EPIC_211822797_b,EPIC 211822797 b,EPIC_211822797,0.1195,0.06,89.73,21.1702,1.92,4.35,431,2016
EPIC_211945201_b,EPIC 211945201 b,EPIC_211945201,0.1493,0,87.9,19.4922,5.76,11,817,2018
EPIC_212297394_b,EPIC 212297394 b,EPIC_212297394,-1,0,90,2.28936,1.48,2.79,1149,2019
EPIC_212297394_c,EPIC 212297394 c,EPIC_212297394,-1,0,90,5.21396,2.27,5.77,866,2021
EPIC_212424622_b,EPIC 212424622 b,EPIC_212424622,-1,0,90,18.0983,2.17,5.35,-1,2019
EPIC_212499991_b,EPIC 212499991 b,EPIC_212499991,-1,0,90,34.885,1.6,3.19,-1,2019
EPIC_212587672_b,EPIC 212587672 b,EPIC_212587672,-1,0,90,15.2808,1.26,2.13,756,2019
EPIC_212587672_c,EPIC 212587672 c,EPIC_212587672,-1,0,89.4211,23.2286,2.32,5.99,658,2021
EPIC_212624936_b,EPIC 212624936 b,EPIC_212624936,-1,0,90.3,0.578657,1.2,1.87,-1,2021
EPIC_212624936_c,EPIC 212624936 c,EPIC_212624936,-1,0,90,11.8114,2.3,5.9,-1,2021
EPIC_212737443_b,EPIC 212737443 b,EPIC_212737443,0.098,0.2,89.071,13.603,2.586,7.2,536,2019
EPIC_212737443_c,EPIC 212737443 c,EPIC_212737443,0.28,0.2,89.63,65.55,2.69,7.7,316,2019
EPIC_220492298_b,EPIC 220492298 b,EPIC_220492298,-1,0,92.6,0.762406,0.99,0.937,-1,2021
EPIC_220674823_b,EPIC 220674823 b,EPIC_220674823,0.0132,0,88.5,0.571308,1.606,7.54,2324,2016
EPIC_220674823_c,EPIC 220674823 c,EPIC_220674823,0.1078,0.18,89.34,13.3406,2.712,7.9,838,2016
EPIC_228836835_b,EPIC 228836835 b,EPIC_228836835,-1,0,89.7,0.728113,1.1,1.37,932,2021
EPIC_229004835_b,EPIC 229004835 b,EPIC_229004835,0.1237,0.23,88.08,16.1411,2.332,10.4,804,2023
EPIC_246851721_b,EPIC 246851721 b,EPIC_246851721,0.07229,0,86.21,6.18023,11.7807,953.49,1401,2018
EPIC_248847494_b,EPIC 248847494 b,EPIC_248847494,4.5,0,89.87,3650,12.442,4131.79,183,2018
EPIC_249893012_b,EPIC 249893012 b,EPIC_249893012,0.047,0.06,86.14,3.5951,1.95,8.75,1616,2020
EPIC_249893012_c,EPIC 249893012 c,EPIC_249893012,0.13,0.07,87.94,15.624,3.67,14.67,990,2020
EPIC_249893012_d,EPIC 249893012 d,EPIC_249893012,0.22,0.15,89.47,35.747,3.94,10.18,752,2020
FU_Tau_b,FU Tau b,FU_Tau,800,0,90,-1,12.2,5085.28,2375,2008
G_192_15_b,G 192-15 b,G_192_15,0.01723,0,90,2.27476,1.02,1.03,453.6,2025
G_192_15_c,G 192-15 c,G_192_15,1.137,0.676,90,1219,3.87,14.3,55.9,2025
G_196_3_b,G 196-3 b,G_196_3,350,0,90,-1,12,8263.54,1670,2024
G_261_6_b,G 261-6 b,G_261_6,0.02971,0,90,5.4536,1.1,1.37,322.3,2025
G_264_012_b,G 264-012 b,G_264_012,0.02279,0,90,2.30538,1.39,2.5,587,2021
G_264_012_c,G 264-012 c,G_264_012,0.0525,0,90,8.0518,1.76,3.75,387,2021
G_268_110_b,G 268-110 b,G_268_110,0.01283,0,90,1.43263,1.13,1.52,534,2025
G_9_40_b,G 9-40 b,G_9_40,0.0418,0,89.03,5.746,1.9,4,440.6,2019
GJ_1002_b,GJ 1002 b,GJ_1002,0.0457,0,90,10.3465,1.03,1.08,230.9,2022
GJ_1002_c,GJ 1002 c,GJ_1002,0.0738,0,90,21.202,1.1,1.36,181.7,2022
GJ_1061_b,GJ 1061 b,GJ_1061,0.021,0.05,77,3.2073,1.04,1.11,388.11,2020
GJ_1061_c,GJ 1061 c,GJ_1061,0.0342,0.02,90,6.6821,1.19,1.81,304.12,2020
GJ_1061_d,GJ 1061 d,GJ_1061,0.054,0.04,90,13.066,1.16,1.67,242.03,2020
GJ_1132_b,GJ 1132 b,GJ_1132,0.0157,0.0118,88.16,1.62893,1.19151,1.83705,583.8,2015
GJ_1132_c,GJ 1132 c,GJ_1132,0.0476,0.19,90,8.929,1.52,2.91,300,2018
GJ_1148_b,GJ 1148 b,GJ_1148,0.166,0.38,90,41.38,11.9,96.7,232.94,2010
GJ_1148_c,GJ 1148 c,GJ_1148,0.912,0.342,90,532.58,9.71,68.06,99.38,2017
GJ_1151_c,GJ 1151 c,GJ_1151,0.5714,0,90,389.7,3.25,10.62,88.3,2023
GJ_1214_b,GJ 1214 b,GJ_1214,0.01505,0.0062,88.98,1.5804,2.733,8.41,567,2009
GJ_1252_b,GJ 1252 b,GJ_1252,0.00915,0,85,0.518233,1.193,1.32,1090,2020
GJ_1265_b,GJ 1265 b,GJ_1265,0.026,0.04,90,3.6511,2.63,7.4,424.04,2018
GJ_1289_b,GJ 1289 b,GJ_1289,0.27,0,90,111.74,2.38,6.27,150,2024
HD_21749_c,HD 21749 c,GJ_143,0.0695,0,88.9,7.78993,0.892,3.7,701,2019
GJ_143_b,GJ 143 b,GJ_143,0.1915,0.188,89.33,35.6125,2.61,22.7,422,2019
GJ_15_A_b,GJ 15 A b,GJ_15_A,0.072,0.094,90,11.4407,1.55,3.03,550,2014
GJ_15_A_c,GJ 15 A c,GJ_15_A,5.4,0.27,90,7600,6.67,36,46.14,2018
GJ_160_2_b,GJ 160.2 b,GJ_160_2,0.053,0.06,90,5.2354,3.17,10.2,736.99,2014
GJ_163_b,GJ 163 b,GJ_163,0.0607,0.073,90,8.63182,3.25,10.6,438.49,2013
GJ_163_c,GJ 163 c,GJ_163,0.1254,0.099,90,25.6306,2.5,6.8,305.07,2013
GJ_163_d,GJ 163 d,GJ_163,1.0304,0.373,90,603.951,5.92,29.4,106.43,2013
GJ_179_b,GJ 179 b,GJ_179,2.41,0.21,61,2288,13.8,301.937,64.53,2009
GJ_180_b,GJ 180 b,GJ_180,0.092,0.07,90,17.133,2.43,6.49,344.43,2014
GJ_180_c,GJ 180 c,GJ_180,0.129,0.09,90,24.329,2.41,6.4,290.87,2014
GJ_180_d,GJ 180 d,GJ_180,0.309,0.14,90,106.3,2.66,7.56,187.94,2020
GJ_2030_b,GJ 2030 b,GJ_2030,0.034,0.239,90,2.38129,2.03,4.76743,2147.31,2022
GJ_2030_c,GJ 2030 c,GJ_2030,16.761,0.041,16.999,25533.1,12.3,4069.16,96.71,2022
GJ_2056_b,GJ 2056 b,GJ_2056,0.283,0.72,90,69.971,4.17,16.2,310.74,2020
GJ_2126_b,GJ 2126 b,GJ_2126,0.71,0.85,90,272.7,13.6,413.177,203.08,2025
GJ_229_A_c,GJ 229 A c,GJ_229,0.384,0.366,90,121.933,2.87,8.58137,188.1,2020
GJ_229_b,GJ 229 b,GJ_229,1.086,0.404,90,579.475,3.97,14.9379,111.85,2014
GJ_238_b,GJ 238 b,GJ_238,0.02123,0,89.99,1.7447,0.566,0.126,758,2024
GJ_251_b,GJ 251 b,GJ_251,0.0808,0,90,14.237,1.79,3.85,336,2020
GJ_251_c,GJ 251 c,GJ_251,0.196,0,90,53.647,1.8,3.88,216,2025
