---,Name,DistancePc,RaDeg,DecDeg,SpectralType,TeffK,RadiusSun,MassSun,Log10LumSun,PlanetCount
Proxima_Cen,Proxima Cen,1.30119,217.393,-62.6762,M5.5 V,2900,0.141,0.1221,-2.82102,2
Barnard_s_star,Barnard's star,1.82655,269.449,4.73798,M3.5-4 V,3195,0.185,0.162,-2.44977,4
eps_Eri,eps Eri,3.2026,53.2284,-9.45817,K2 V,5020.38,0.759106,0.82,-0.41928,1
GJ_887,GJ 887,3.28679,346.503,-35.8473,M1 V,3688,0.468,0.495,-1.43415,4
Ross_128,Ross 128,3.37454,176.938,0.79929,M4,3192,0.1967,0.168,-2.44129,1
Gl_725_A,Gl 725 A,3.5214,280.683,59.6381,M3,3433,0.351,0.33,-1.809,1
GJ_15_A,GJ 15 A,3.56228,4.61267,44.0247,M1,3607,0.38,0.38,-1.655,2
tau_Cet,tau Cet,3.60304,26.0093,-15.9338,G8.5V,5310,0.83,0.783,-0.30539,3
eps_Ind_A,eps Ind A,3.63857,330.871,-56.7969,K5 V,4700,0.713,0.8,-0.6216,1
GJ_1061,GJ 1061,3.67278,54.0032,-44.5143,M5.5 V,2953,0.156,0.12,-2.76955,3
YZ_Cet,YZ Cet,3.71207,18.1331,-16.9962,M4.5 V,3151,0.157,0.142,-2.65857,3
Teegarden_s_Star,Teegarden's Star,3.83078,43.2691,16.8649,M7.0 V,3034,0.12,0.097,-3.14146,3
Kapteyn,Kapteyn,3.93305,77.9587,-45.043,M2.0V,3550,0.291,0.281,-1.79289,1
Wolf_1061,Wolf 1061,4.30592,247.575,-12.6677,M3.5,3342,0.307,0.294,-1.9914,3
GJ_9066,GJ 9066,4.471,30.0588,13.0443,M5.0 V,3154,0.164,0.15,-2.59517,1
GJ_674,GJ 674,4.54896,262.17,-46.899,M2.5,3600,0.36463,0.35,-1.796,1
GJ_687,GJ 687,4.54939,264.104,68.3337,M3.0V,3413,0.4183,0.4,-1.672,2
GJ_876,GJ 876,4.67517,343.324,-14.2666,M2.5V,3293.74,0.3,0.32,-1.90658,4
GJ_1002,GJ 1002,4.84867,1.67646,-7.54621,M5.5 V,3024,0.137,0.12,-2.85201,2
GJ_832,GJ 832,4.96435,323.391,-49.0125,M2/3 V,3472,0.441557,0.45,-1.585,1
GJ_682,GJ 682,5.00671,264.261,-44.3233,M3.5 V,3028,0.298255,0.27,-2.69897,2
GJ_3323,GJ 3323,5.37484,75.4869,-6.94851,M4,3159,0.119,0.164,-2.56864,2
GJ_251,GJ 251,5.58057,103.7,33.2665,M3.0 V,3342,0.36,0.35,-1.80967,2
GJ_411,GJ 411,5.67577,165.834,35.9723,M1.5 V,3719,0.3685,0.3899,-1.70997,2
GJ_229,GJ 229,5.75624,92.6436,-21.8677,M1.5V,3564,0.46,0.509,-1.55284,2
HD_180617,HD 180617,5.91059,289.228,5.16316,M2.5 V,3534,0.481,0.484,-1.49,1
GJ_273,GJ 273,5.92154,111.852,5.22581,M3.5,3382,0.293,0.29,-2.05552,2
HD_20794,HD 20794,6.00278,49.9998,-43.0667,G6 V,5368,0.93,0.79,-0.16311,4
HN_Lib,HN Lib,6.24442,218.568,-12.517,M4.0 V,3347,0.299,0.291,-1.99542,1
GJ_896_A,GJ 896 A,6.26022,352.97,19.937,M3.5 V,3345,0.394682,0.43599,-1.75523,1
GJ_581,GJ 581,6.2981,229.856,-7.72269,M3.0 V,3500,0.302,0.295,-1.90781,3
GJ_338_B,GJ 338 B,6.33256,138.592,52.6835,M0 V,4014,0.58,0.64,-1.10127,1
GJ_625,GJ 625,6.47249,246.356,54.3034,M2,3499,0.31,0.3,-1.894,1
HD_219134,HD 219134,6.53127,348.337,57.1696,K3 V,4913,0.77,0.794,-0.50864,6
Gl_725_B,Gl 725 B,6.84236,280.695,59.6271,M4,3379,0.28,0.25,-2.038,1
LTT_1445_A,LTT 1445 A,6.86929,45.4625,-16.5945,M3.0,3562,0.271,0.257,-2.04591,2
GJ_393,GJ 393,7.03149,157.229,0.837848,M2.0 V,3579,0.426,0.426,-1.57073,1
GJ_4274,GJ 4274,7.23556,335.781,-17.6104,M4.5 V,3228,0.19,0.18,-2.46218,2
GJ_667_C,GJ 667 C,7.24396,259.751,-34.9978,M1.5 V,3350,1,0.33,-1.863,5
GJ_514,GJ 514,7.61778,202.504,10.3725,M0.5-1.0 V,3728,0.5,0.51,-1.36653,1
GJ_3378,GJ 3378,7.72274,90.2951,59.5932,M4 V,3340,0.275,0.262,-2.07058,1
GJ_1151,GJ 1151,8.03625,177.73,48.3732,M 4.5V,3280,0.1781,0.1639,-2.47952,1
GJ_486,GJ 486,8.07426,191.982,9.74942,M3.5 V,3317,0.3243,0.312,-1.93892,1
Gl_686,Gl 686,8.15728,264.476,18.596,M1.0 V,3656,0.427,0.426,-1.53,1
Gliese_48,Gliese 48,8.23366,15.6582,71.6782,M3.5 V,3450,0.463,0.47,-1.56384,1
GJ_1289,GJ 1289,8.35147,355.781,36.5363,M4.5 Ve,3296,0.245012,0.21,-2.25995,1
61_Vir,61 Vir,8.50332,199.596,-18.3158,G5 V,5577,0.963,0.942,-0.095,3
CD_Cet,CD Cet,8.60715,48.353,4.77519,M5.0 V,3130,0.175,0.161,-2.53254,1
HD_192310,HD 192310,8.79687,303.828,-27.0338,K3V,5166,0.857922,0.8,-0.41454,2
GJ_849,GJ 849,8.80058,332.423,-4.64083,M3.5,3467,0.45,0.45,-1.59,2
GJ_433,GJ 433,9.06456,173.862,-32.5436,M2V,3461,0.5,0.48,-1.69897,3
GJ_367,GJ 367,9.41263,146.121,-45.779,M V,3535,0.457,0.451,-1.54061,3
GJ_357,GJ 357,9.44181,144.007,-21.6651,M2.5 V,3505,0.337,0.342,-1.79833,3
HD_285968,HD 285968,9.47045,70.7354,18.9534,M2 V,3703.49,0.478214,0.5,-1.658,1
GJ_3512,GJ 3512,9.48637,130.332,59.4918,M5.5 V,3141,0.139,0.123,-2.8041,2
G_192_15,G 192-15,9.53114,90.6221,49.8619,M5.0 V,2999,0.170718,0.132,-2.67285,2
Wolf_1069,Wolf 1069,9.58341,306.524,58.5753,M5.0 V,3158,0.1813,0.167,-2.53106,1
GJ_680,GJ 680,9.67315,263.807,-48.6788,K5,3563,0.45933,0.456,-1.51379,1
AU_Mic,AU Mic,9.7221,311.291,-31.3424,M1 V,3540,0.862,0.635,-0.97757,4
GJ_436,GJ 436,9.75321,175.551,26.7031,M2.5 V,3586.11,0.455,0.47,-1.585,1
Gl_49,Gl 49,9.8528,15.6687,62.3454,M1.5 V,3805,0.511,0.515,-1.30645,1
GJ_3988,GJ 3988,9.9105,255.85,51.409,M4.5 V,3273,0.19734,0.1842,-2.39513,1
HD_260655,HD 260655,10.0055,99.2915,17.5663,M0 V,3803,0.439,0.439,-1.43997,2
WISEP_J121756_91_162640_2_A,WISEP J121756.91+162640.2 A,10.1,184.487,16.4445,T8.5,575,0.091,0.029,-6.09,1
L_363_38,L 363-38,10.2295,10.8555,-41.2953,,3129,0.274,0.21,-1.88606,1
GJ_1265,GJ 1265,10.2525,333.432,-17.6871,M4.5 V,3236,0.192,0.178,-2.4389,1
HD_62509,HD 62509,10.34,116.329,28.0261,K0IIIvar,4892.63,8.9,2,1.612,1
GJ_649,GJ 649,10.3796,254.536,25.742,M1.0,3734,0.5,0.51,-1.361,1
GJ_536,GJ 536,10.4092,210.26,-2.65229,M1 V,3641,0.529,0.528,-1.35291,2
GJ_341,GJ 341,10.454,140.399,-60.2812,M1,3770,0.5066,0.48,-1.31072,1
HIP_48714,HIP 48714,10.5298,149.033,62.786,M0.5 Ve,4015.5,0.595456,0.58,-1.15565,1
L_98_59,L 98-59,10.6194,124.533,-68.3145,M3 V,3415,0.3155,0.2923,-1.91364,5
G_261_6,G 261-6,10.6267,291.074,75.5558,M5.5 V,2907,0.153162,0.118,-2.82122,1
HD_147379,HD 147379,10.7643,244.173,67.2392,M0.0 V,4090,0.628304,0.58,-1.09691,1
GJ_86,GJ 86,10.7836,32.6225,-50.821,K1V,5182,0.77,0.93,-0.38952,1
COCONUTS_2_A,COCONUTS-2 A,10.8864,117.301,-76.7027,M3 V,3552,0.366,0.4,-1.719,1
HD_115404_A,HD 115404 A,10.9816,199.216,17.016,K2V,5019.17,0.727007,0.83,-0.5197,2
GJ_1148,GJ 1148,11.0143,175.433,42.7516,M5,3287,0.358519,0.344045,-1.86908,2
GJ_740,GJ 740,11.1017,284.5,5.90287,M1.0 V,3913,0.56,0.58,-1.206,1
HD_3651,HD 3651,11.1336,9.83872,21.2489,K0 V,5221,0.871954,0.799,-0.27415,1
Ross_508,Ross 508,11.2103,230.961,17.4605,M4.5 V,3071,0.2113,0.1774,-2.44503,1
HD_222237,HD 222237,11.4469,354.908,-72.7253,K3 V,4751,0.71,0.76,-0.66555,1
Ross_458,Ross 458,11.5094,195.191,12.3756,M2,3965.42,0.562566,0.556419,-1.29769,1
HD_141004,HD 141004,11.8148,236.61,7.35277,G0Vvar,5885.38,1.38937,1.0519,0.346,1
GJ_414_A,GJ 414 A,11.8893,167.775,30.4452,K7 V,4120,0.68,0.65,-0.92445,2
GJ_96,GJ 96,11.9315,35.5624,47.8802,M2,3785,0.580612,0.6,-1.05159,1
Gl_410,Gl 410,11.9324,165.66,21.9669,K,3842,0.543,0.55,-1.239,1
GJ_180,GJ 180,11.9407,73.4601,-17.7762,M3,3371,0.413049,0.43,-1.88606,3
GJ_806,GJ 806,12.0445,311.27,44.5002,M1.5 V,3600,0.4144,0.413,-1.58528,2
Gliese_12,Gliese 12,12.21,3.95791,13.5576,M4 V,3328,0.265,0.255,-2.13787,1
GJ_179,GJ 179,12.356,73.0245,6.47523,M3.5 V,3370,0.38,0.357,-1.796,1
TRAPPIST_1,TRAPPIST-1,12.4299,346.626,-5.04346,M8.0 V,2566,0.1192,0.0898,-3.25727,7
55_Cnc_B,55 Cnc B,12.4773,133.168,28.3153,M4.5 V,3286,0.274,0.26,-2.10811,2
LHS_475,LHS 475,12.4814,290.238,-82.5598,M3.5 V,3300,0.2789,0.262,-2.06449,1
HD_69830,HD 69830,12.5591,124.601,-12.6364,K0V,5385,0.886947,0.86,-0.22,3
55_Cnc,55 Cnc,12.5855,133.147,28.3298,G8 V,5198,0.98,1.015,-0.19695,5
GJ_1132,GJ 1132,12.613,153.709,-47.1549,M4.5 V,3229,0.2211,0.1945,-2.32148,2
GJ_422,GJ 422,12.6631,168.981,-57.5426,M3.5 V,3323,0.370328,0.35,-1.95861,1
VHS_J125601_92_125723_9,VHS J125601.92-125723.9,12.7,194.009,-12.956,M7.5,2620,1,0.07,-3.14,1
HD_190007,HD 190007,12.7141,300.696,3.3267,K4 V,4610,0.79,0.77,-0.68,1
HIP_56998,HIP 56998,12.7781,175.256,-44.4041,K4/5V,4675,0.63,0.653,-0.78186,2
HD_147513,HD 147513,12.9032,246.006,-39.193,G3/5V,5883,0.98,1.11,-0.01,1
HD_40307,HD 40307,12.9363,88.5172,-60.0237,K2.5 V,4956,0.716684,0.77,-0.639,5
HD_211970,HD 211970,13.1277,335.566,-54.5596,K7 V,4127,0.574175,0.61,-1.06479,1
ups_And,ups And,13.4054,24.1984,41.4038,F8 V,6156.77,1.56,1.3,0.52541,3
HD_22496,HD 22496,13.5956,53.7565,-48.4178,K5/M0V,4385,0.674,0.684,-1.17393,1
GJ_3779,GJ 3779,13.743,200.734,24.4639,M4.0 V,3324,0.281,0.27,-2.06198,1
47_UMa,47 UMa,13.7967,164.865,40.4305,G0V,5872,1.21334,1.06,0.1978,3
TOI_540,TOI-540,14.0022,76.3097,-47.9375,M V,3216,0.1895,0.159,-2.46092,1
gam_Cep,gam Cep,14.1024,354.836,77.6331,K1 III-IV,4775,4.74,1.26,1.073,1
GJ_480,GJ 480,14.2358,189.713,11.6951,M3.5 Ve,3509,0.449,0.45,-1.562,1
GJ_685,GJ 685,14.3155,263.896,61.6793,M0.5,3816,0.54,0.55,-1.253,1
CWISEP_J193518_59_154620_3,CWISEP J193518.59-154620.3,14.43,293.826,-15.7726,Y,5772,1,0.024,0,1
HIP_79431,HIP 79431,14.5324,243.174,-18.8764,M3 V,3191,0.478625,0.49,-1.54921,1
GJ_1214,GJ 1214,14.6427,258.831,4.96068,M4 V,3101,0.2162,0.182,-2.40894,1
HD_136352,HD 136352,14.682,230.44,-48.3188,G4 V,5664,1.058,0.87,0.0162,3
LHS_3844,LHS 3844,14.8846,340.496,-69.1721,M4.5-M5.0,3080,0.189,0.151,-2.56543,1
HD_86728,HD 86728,14.9202,150.25,31.9218,G1V,5610,1.237,0.967,0.13513,1
Gl_378,Gl 378,14.9545,150.587,48.0825,M1,3879,0.56,0.56,-1.22185,1
LHS_1140,LHS 1140,14.9861,11.2486,-15.2741,M4.5 V,3096,0.2159,0.1844,-2.42022,2
GJ_163,GJ 163,15.1285,62.3228,-53.3712,M,3500,0.409738,0.4,-1.708,3
GJ_317,GJ 317,15.1968,130.245,-23.4528,M3.5 V,3496,0.403,0.402,-1.68663,2
GJ_238,GJ 238,15.2142,98.4549,-58.525,M2.5 V,3485,0.4314,0.4193,-1.61618,1
HD_238090,HD 238090,15.2354,183.089,54.4862,M0.0 V,3933,0.57,0.578,-1.15366,1
HD_140901,HD 140901,15.2528,236.869,-37.9172,G7 IV,5610,0.95,0.99,-0.10237,2
51_Peg,51 Peg,15.4614,344.368,20.7691,G5V,5761,1.19,1.07,0.13631,1
TYC_2187_512_1,TYC 2187-512-1,15.4744,320.527,22.9319,M1.0 V,3734,0.495,0.498,-1.38091,1
GJ_720_A,GJ 720 A,15.5575,278.829,45.7456,M0.5 V,3837,0.56,0.57,-1.217,1
HD_160691,HD 160691,15.5981,266.036,-51.8349,G3 IV-V,5773,1.33,1.13,0.27848,4
tau_Boo,tau Boo,15.6521,206.813,17.4572,F7 V,6466.27,1.42588,1.32,0.50548,1
LHS_3154,LHS 3154,15.7606,241.637,40.9068,M6.5,2861,0.1405,0.1118,-2.72125,1
GJ_3929,GJ 3929,15.8095,239.578,35.4081,M3.5 V,3384,0.32,0.313,-1.96257,2
GJ_9773,GJ 9773,15.9211,333.15,8.55034,M3.0 V,3528,0.362,0.358,-1.73666,1
HD_190360,HD 190360,16.0069,300.909,29.8945,G7 IV-V,5560,1.14,0.996,0.06647,3
G_264_012,G 264-012,16.009,326.672,66.8038,M4.0 V,3326,0.305,0.297,-1.97224,2
GJ_676_A,GJ 676 A,16.0272,262.545,-51.6378,M0,3734,0.69,0.626,-1.04251,4
HD_113538,HD 113538,16.2817,196.234,-52.4464,K9 V,4462,0.53,0.585,-1.04576,2
GJ_143,GJ 143,16.32,51.7502,-63.5002,K4.5,4640,0.695,0.73,-0.6862,2
HD_128311,HD 128311,16.3292,219.003,9.74544,K0,4965,0.76,0.828,-0.5116,2
GJ_3082,GJ 3082,16.6186,18.6432,-53.9408,M4,3910,0.465216,0.47,-1.46273,1
GJ_508_2,GJ 508.2,16.6374,200.244,34.2777,M1.0 V,3720,0.53,0.54,-1.222,1
HD_48948,HD 48948,16.9043,102.49,60.3373,K3 V,4593,0.679,0.686,-0.78885,3
HD_177565,HD 177565,16.9179,286.718,-37.8122,G8V,5627,0.971489,1,-0.05395,1
GJ_3942,GJ 3942,16.9287,242.265,52.9441,M0,3867,0.61,0.63,-1.12,1
GJ_724,GJ 724,16.9658,280.238,-13.3825,M1.0 V,3799,0.52226,0.5271,-1.2909,1
HD_7924,HD 7924,16.9922,20.4957,76.7101,K0.5 V,5075,0.7821,0.832,-0.40636,3
HR_810,HR 810,17.3181,40.6417,-50.7993,G0V,6167,1.13,1.34,0.25309,1
HD_10647,HD 10647,17.3357,25.6234,-53.7413,F9 V,6218,1.1,1.11,0.149,1
rho_CrB,rho CrB,17.4671,240.26,33.3002,G0,5817,1.3617,1,0.23198,3
GJ_504,GJ 504,17.5299,199.192,9.42498,G0 V,6234,1.26,1.22,0.332,1
GJ_3021,GJ 3021,17.5559,4.06343,-79.8514,G6 V,5540,0.9,0.9,-0.18,1
LSPM_J2116_0234,LSPM J2116+0234,17.6297,319.115,2.58077,M3.0 V,3475,0.431,0.43,-1.69897,1
HIP_38594,HIP 38594,17.7886,118.544,-25.3023,M0,4086.3,0.626646,0.61,-1.06243,2
70_Vir,70 Vir,17.9011,202.106,13.7763,G5V,5495,1.89,1.09,0.4513,1
HD_189567,HD 189567,17.9055,301.396,-67.3238,G3 V,5726,1.04,0.83,0.32428,2
HD_3765,HD 3765,17.926,10.2073,40.1843,K2V,5049.8,0.83061,0.851785,-0.41634,1
14_Her,14 Her,17.9323,242.602,43.8164,K0,5338,0.93,0.97,-0.15273,2
HD_153557,HD 153557,17.9412,254.471,47.3679,K0,4837,0.745171,0.79,-0.56249,3
TOI_4527,TOI-4527,18.1037,19.4723,5.4712,M2V:,3702,0.485948,0.483901,-1.39838,1
HN_Peg,HN Peg,18.1186,326.132,14.7715,G0 V,6186,1.00695,1.08,0.06024,1
GJ_3998,GJ 3998,18.1459,259.002,11.0562,M1,3726,0.5,0.52,-1.358,3
HD_99492,HD 99492,18.2038,171.69,3.00713,K2 V,4929,0.822539,0.85,-0.4749,2
LHS_1478,LHS 1478,18.2276,44.3389,76.5514,m3 V,3415,0.2462,0.2301,-2.1296,1
GJ_3222,GJ 3222,18.2382,50.8972,-40.0762,K0V,5257.46,0.931389,0.89,-0.252,1
HD_154088,HD 154088,18.2692,256.116,-28.5838,K0 IV-V,5374,0.95,0.91,-0.13077,1
HD_39091,HD 39091,18.2702,84.2993,-80.4646,G0 V,5998,1.17,1.07,0.15957,3
HD_27442,HD 27442,18.2704,64.1205,-59.3029,K1/2III,4846,3.18,1.23,0.8509,1
HD_154345,HD 154345,18.284,255.652,47.0856,G8,5468,0.85,0.89,-0.21934,1
HD_87883,HD 87883,18.2912,152.179,34.242,K0,4980,0.798557,0.8,-0.47108,1
GJ_463,GJ 463,18.3554,185.744,64.0324,M3.0 V,3563,0.483,0.486,-1.52293,1
TOI_5388,TOI-5388,18.5226,152.177,35.5476,M3.0 V,3440,0.3,0.292,-1.94539,1
HIP_54373,HIP 54373,18.7168,166.864,-19.2917,K5 V,4021,0.564998,0.57,-1.22239,2
TOI_6716,TOI-6716,18.8873,111.657,-30.5522,M4,3110,0.231,0.223,-2.31942,1
WD_0806_661,WD 0806-661,19.2444,121.728,-66.3059,DQ,10393,1,0.605,0,1
HD_216520,HD 216520,19.552,341.877,83.6975,K2,5103,0.76,0.82,-0.452,2
TOI_2194,TOI-2194,19.5711,299.156,-31.3352,,4756,0.6909,0.74,-0.68955,1
HD_192263,HD 192263,19.6359,303.499,-0.865757,K2 V,4976,0.74,0.66,-0.47,1
bet_Pic,bet Pic,19.7442,86.8212,-51.0661,A6 V,8038.68,1.54416,1.789,0.95282,3
HD_189733,HD 189733,19.7638,300.182,22.7098,K2 V,5052,0.75,0.79,-0.46119,1
7_CMa,7 CMa,19.8101,99.1713,-19.2562,K1III(+M),4826,4.87,1.34,1.06258,2
LHS_1678,LHS 1678,19.8782,68.179,-39.7909,M2.0 V,3490,0.329,0.345,-1.83863,3
HD_217107,HD 217107,20.0619,344.565,-2.39545,G,5622,1.2245,1.045,0.09754,2
TOI_260,TOI-260,20.1852,4.77302,-9.96615,K8 V,4026,0.607,0.616,-1.05899,1
GJ_3293,GJ 3293,20.1903,67.1484,-25.1713,M2.5,3466,0.404,0.42,-1.65758,4
alf_Ari,alf Ari,20.2102,31.7933,23.4624,K2III,4553,13.9,1.5,1.934,1
BD_06_1339,BD-06 1339,20.2695,88.2512,-5.99634,K7/M0 V,4324,0.686355,0.7,-1.022,2
HD_149806,HD 149806,20.2727,249.286,0.254679,K0V,5352.05,0.89,0.93,-0.2446,1
TOI_6255,TOI-6255,20.3167,331.503,39.2988,,3421,0.37,0.353,-1.77344,1
HD_104067,HD 104067,20.3632,179.792,-20.3556,K2V,4952,0.78,0.82,-0.51256,2
GJ_1252,GJ 1252,20.373,306.929,-56.4623,M3,3458,0.391,0.381,-1.70774,1
GJ_3634,GJ 3634,20.3779,164.643,-31.1443,M2.5,3517,0.43,0.45,-1.699,1
alf_Tau,alf Tau,20.4332,68.9802,16.5092,K5 III,4055,45.1,1.13,2.672,1
TOI_5789,TOI-5789,20.4581,302.773,16.1897,K1 V,5185,0.833,0.821,-0.32883,4
GJ_9714,GJ 9714,20.5121,315.414,-32.525,K5V,4263,0.662662,0.67,-0.88386,1
GJ_328,GJ 328,20.5266,133.782,1.542,M0.0,3897,0.63,0.65,-1.08,2
TOI_6324,TOI-6324,20.5488,330.845,67.4987,,3247,0.293,0.269,-1.99802,1
DENIS_P_J082303_1_491201,DENIS-P J082303.1-491201,20.77,125.762,-49.2003,L1.5,5772,1,0.075,0,1
GJ_900_A,GJ 900 A,20.8065,353.753,1.60552,K7,3976,0.716187,1.08,-0.921,1
HD_33564,HD 33564,20.9531,80.6379,79.2318,F6 V,6250,1.4367,1.25,0.53504,1
HD_114783,HD 114783,21.0628,198.182,-2.26499,K0,5135,0.840622,0.853,-0.3725,2
HIP_4845,HIP 4845,21.0974,15.5882,-10.4246,K7V,4010,0.603999,0.62,-1.0339,1
16_Cyg_B,16 Cyg B,21.1397,295.466,50.5168,G3 V,5750,1.13,1.08,0.09729,1
RR_Cae,RR Cae,21.1916,65.2734,-48.6543,M,3904,0.193119,0.44,-2.10762,1
nu_Oct_A,nu Oct A,21.1999,325.37,-77.3911,K1 IV,4910,5.04,1.57,1.12057,1
HD_210277,HD 210277,21.2985,332.375,-7.5506,G0 V,5538,1.07,1.01,-0.032,1
GJ_4276,GJ 4276,21.3362,336.322,59.4125,M4.0,3387,0.407,0.406,-1.70553,1
HD_97658,HD 97658,21.5618,168.638,25.7106,K1 V,5212,0.728,0.85,-0.45469,1
HD_215152,HD 215152,21.5974,340.838,-6.40207,K3 V,4935,0.73,0.77,-0.52254,4
G_196_3,G 196-3,21.7912,151.088,50.3862,,3517,0.522432,0.519782,-1.42456,1
K2_415,K2-415,21.8182,137.202,11.8623,M5 V,3173,0.1965,0.1635,-2.45469,1
HD_90156,HD 90156,21.9496,155.98,-29.6451,G5V,5599,0.920286,0.84,-0.14267,1
HD_45184,HD 45184,21.9532,96.182,-28.7806,G1.5 V,5869,1.07514,1.03,0.05308,2
LTT_3780,LTT 3780,21.9814,154.645,-11.7178,M3.5 V,3358,0.38,0.381,-1.78252,2
HD_164922,HD 164922,22.0016,270.63,26.3104,G9 V,5390,0.946,0.926,-0.14874,4
HD_4308,HD 4308,22.0158,11.1653,-65.6527,G5V,5686,1.02,0.93,-0.004,1
TOI_244,TOI-244,22.0337,10.5698,-36.718,M2.5 V,3433,0.426,0.428,-1.64264,1
HD_63433,HD 63433,22.4035,117.479,27.3631,G5 V,5553,0.934,0.956,-0.1261,3
TOI_1450_A,TOI-1450 A,22.4467,286.854,59.0866,M3.0 V,3437,0.483,0.48,-1.56499,2
GJ_3090,GJ 3090,22.4751,20.4384,-46.7147,M2 V,3707,0.516,0.519,-1.34199,2
TOI_270,TOI-270,22.4793,68.4161,-51.9574,M3 V,3506,0.38,0.386,-1.7122,3
HD_19994,HD 19994,22.5242,48.1943,-1.1964,F8 V,6188,1.79647,1.365,0.58,1
HD_18143,HD 18143,22.5243,43.914,26.8724,K2,5078,0.87,0.85,-0.31953,2
HD_127506,HD 127506,22.5279,217.685,35.4546,K3V,4595.32,0.735766,0.73,-0.66256,1
TOI_4336_A,TOI-4336 A,22.5455,206.107,-40.3374,M3.5 V,3307,0.326,0.306,-1.95861,2
TOI_2267_A,TOI-2267 A,22.55,65.0615,84.9008,M5 V,3030,0.2075,0.171,-2.48149,2
TOI_2267_B,TOI-2267 B,22.55,65.0615,84.9008,M6 V,3022,0.13,0.0989,-2.95861,1
TOI_2134,TOI-2134,22.6202,271.936,39.0729,K5 V,4580,0.709,0.744,-0.7167,2
psi1_Dra_B,psi1 Dra B,22.7188,265.493,72.1557,G0 V,6212,1.25574,1.19,0.32579,1
HIP_34222,HIP 34222,22.8386,106.426,27.4704,K7 V,4050,0.6186,0.62,-1.03267,1
CFBDSIR_J145829_101343,CFBDSIR J145829+101343,23.1,224.621,10.2286,,580.5,1,0.021,0,1
TOI_6008,TOI-6008,23.1008,310.449,49.6469,M5.0,3075,0.242,0.23,-2.32873,1
HD_39855,HD 39855,23.2599,88.6261,-19.7044,G8 V,5576,0.744665,0.87,-0.31625,1
HD_168009,HD 168009,23.3032,273.885,45.2088,G2V,5778.33,1.20951,0.986073,0.14982,1
HIP_12961,HIP 12961,23.371,41.6801,-23.086,M0,3901,0.65,0.69,-1.00302,1
HD_1461,HD 1461,23.4534,4.67626,-8.05362,G0 V,5765,1.15229,1.02,0.0954,2
HD_207496,HD 207496,23.606,328.718,-77.3388,K2.5 V,4819,0.769,0.8,-0.50858,1
GJ_27_1,GJ 27.1,23.6062,9.998,-44.2542,M0.5 V,3542,0.518887,0.53,-1.58503,1
GJ_3341,GJ 3341,23.619,78.9471,-31.2948,M2.5,3526,0.439,0.47,-1.538,1
HIP_107772,HIP 107772,23.6434,327.498,-41.244,M0 V,4006,0.513922,0.63,-1.16322,1
TOI_198,TOI-198,23.7262,2.27151,-27.1217,M0 V,3801,0.418,0.417,-1.484,1
BD_210397,BD-210397,23.7324,33.3024,-21.1962,K7 V,4051,0.747,0.69,-0.86967,2
GJ_9404,GJ 9404,23.8839,184.847,28.3827,M2V,3811,0.626041,0.62,-1,1
TOI_2443,TOI-2443,23.9258,40.1799,1.19968,K5 V,4375,0.631,0.642,-0.86487,1
KOBE_1,KOBE-1,23.9718,19.166,25.331,K7 V,4135,0.619,0.629,-0.99576,2
HD_134060,HD 134060,24.0125,227.685,-61.4224,G3 IV,5966,1.16429,1.095,0.15836,2
HIP_70849,HIP 70849,24.0572,217.327,-46.4647,K7 V,4105,0.633112,0.65,-1.04817,1
HD_199509,HD 199509,24.3056,317.345,-82.0275,G3V,5796.02,0.92,1.04,-0.08419,1
HD_156668,HD 156668,24.3323,259.418,29.2282,K2,4903.69,0.774528,0.785167,-0.54025,2
HD_42618,HD 42618,24.3358,93.0032,6.78197,G4 V,5727,0.999,1.015,-0.00877,1
WD_1856_534,WD 1856+534,24.7359,284.416,53.509,DC,4710,0.0131,0.518,-4.12,1
TOI_1468,TOI-1468,24.7399,16.6539,19.2249,M3.0 V,3376,0.3714,0.3527,-1.7921,2
L_168_9,L 168-9,25.1496,350.029,-60.0657,M0.5 V,3842,0.604,0.614,-1.14086,1
TOI_771,TOI-771,25.2788,164.114,-72.9852,M3,3370,0.232,0.22,-2.20343,2
DMPP_4,DMPP-4,25.3284,293.583,51.2358,F5-F8 V,6400,1.38,1.25,0.45939,1
HD_16417,HD 16417,25.3936,39.2441,-34.5791,G1 V,5841,1.63998,1.2,0.44317,1
HD_96700,HD 96700,25.4111,166.974,-30.1751,G0 V,5845,1.16,0.89,0.13988,3
HIP_55507,HIP 55507,25.4893,170.523,46.9078,M0,4171,0.723643,0.65,-0.8453,1
TOI_1080,TOI-1080,25.559,276.368,-52.2146,M4.0&plusmn;1.0 V,3065,0.2019,0.1667,-2.48945,1
GJ_160_2,GJ 160.2,25.8557,61.6454,-20.8565,M0 V,4347,0.655173,0.69,-0.79588,1
HIP_57274,HIP 57274,25.8618,176.171,30.9576,K4 V,4510,0.78,0.29,0.19,3
HD_60532,HD 60532,25.9716,113.513,-22.2959,F6 IV,6245,2.57,1.5,1.00089,2
TOI_912,TOI-912,26.1072,229.329,-80.4733,M3,3572,0.419,0.418,-1.59007,1
HD_128356,HD 128356,26.1548,219.27,-25.8032,K3 V,4875,0.85,0.65,-0.4437,1
HD_30562,HD 30562,26.1597,72.153,-5.67512,G2 IV,5882,1.61,1.12,0.45,1
HD_134987,HD 134987,26.1804,228.368,-25.3097,G5 V,5736,1.22,1.1,0.25527,2
