---,Name,DistancePc,RaDeg,DecDeg,SpectralType,TeffK,RadiusSun,MassSun,Log10LumSun,PlanetCount
Kepler_1922,Kepler-1922,1344.29,292.33,37.9971,,5931,0.863,0.953,0.15221,1
OGLE_TR_10,OGLE-TR-10,1344.97,267.868,-29.8765,G2 V,5950,1.17,1.14,0.188,1
Kepler_1225,Kepler-1225,1347.52,290.633,40.137,,6140,1.19,1.13,0.33289,1
Kepler_1217,Kepler-1217,1347.71,289.187,50.9376,,5905,1.08,1.06,0.08509,1
Kepler_232,Kepler-232,1349.13,295.816,51.1217,,5847,0.968,0.97,0.05183,2
Kepler_944,Kepler-944,1349.43,293.601,42.3798,,5409,0.83,0.86,-0.07777,1
Kepler_1322,Kepler-1322,1350.32,293.205,45.4354,,5704,0.804,0.897,-0.10053,2
Kepler_856,Kepler-856,1351.17,289.604,46.3149,,5535,0.93,0.96,-0.02166,1
Kepler_1286,Kepler-1286,1354.46,280.258,43.8357,,5753,0.98,1,0.12822,1
Kepler_1345,Kepler-1345,1355.02,292.478,46.0228,,6449,1.55,1.32,0.69266,1
Kepler_620,Kepler-620,1355.28,291.159,51.3348,,6155,1.22,1.15,0.34079,1
Kepler_1495,Kepler-1495,1355.54,286.131,38.7795,,5831,1.04,1.03,0.0523,1
Kepler_294,Kepler-294,1357.01,287.392,46.0593,,5913,0.976,0.947,-0.14755,2
Kepler_688,Kepler-688,1357.75,294.655,39.3083,,5715,0.96,0.98,-0.02364,1
Kepler_1516,Kepler-1516,1358.95,291.495,44.5234,,5904,1.07,1.04,0.44571,1
Kepler_1906,Kepler-1906,1360.63,293.827,38.8566,,5868,0.894,0.987,0.24215,1
Kepler_1819,Kepler-1819,1363.19,296.56,46.8575,,6090,1.071,1.173,0.0865,1
Kepler_1230,Kepler-1230,1364.22,283.265,41.7115,,5961,1.08,1.06,0.09626,1
Kepler_1085,Kepler-1085,1364.53,287.478,46.1412,,6000,1.14,1.11,0.07867,2
Kepler_53,Kepler-53,1366.07,290.462,40.5625,,5858,0.89,0.98,0.03558,3
Kepler_1887,Kepler-1887,1366.18,288.956,44.7057,,5749,0.864,0.961,-0.18953,1
Kepler_1626,Kepler-1626,1368.83,296.5,40.7212,,6826,1.85,1.51,0.61079,1
Kepler_903,Kepler-903,1369.24,288.771,40.6642,,5682,0.97,0.98,0.36464,2
KOI_2513,KOI-2513,1369.87,293.669,46.3792,,5900,1.2,0.91,0.197,1
Kepler_739,Kepler-739,1370.65,290.068,46.5792,,5601,0.9,0.93,0.01798,1
Kepler_266,Kepler-266,1370.79,294.484,44.1669,,5885,1.028,0.947,0.01163,2
Kepler_1954,Kepler-1954,1373.83,298.003,43.3546,,5840,0.849,0.942,0.04503,1
Kepler_881,Kepler-881,1375.18,288.993,46.6707,,5961,1.09,1.06,0.11975,1
Kepler_1883,Kepler-1883,1377.61,291.923,42.0025,,6208,1.024,1.086,-0.01559,1
Kepler_848,Kepler-848,1378.47,293.288,48.8116,,5695,1.2,1.01,0.59369,1
Kepler_1666,Kepler-1666,1379.37,297.952,46.2647,,6293,1.14586,1.23,0.26839,2
Kepler_1267,Kepler-1267,1379.43,299.17,43.4411,,6096,1.2,1.15,0.0025,1
Kepler_1557,Kepler-1557,1380.16,293.881,46.8388,,6099,1.17,1.11,0.11938,1
Kepler_1080,Kepler-1080,1382.82,296.464,49.1829,,5956,1.16,1.1,0.86064,1
KIC_7917485,KIC 7917485,1382.89,299.435,43.6326,A,7067,2.00994,1.63,0.99564,1
Kepler_1574,Kepler-1574,1384.16,292.159,49.6378,,5892,1.08,1.06,0.15604,1
Kepler_1399,Kepler-1399,1385.7,293.312,46.0417,,5735,0.96,0.97,0.00959,1
Kepler_820,Kepler-820,1387.2,291.02,39.2206,,6260,1.36,1.23,0.6895,1
Kepler_823,Kepler-823,1389.27,284.583,39.2202,,5643,0.96,0.98,0.33549,1
Kepler_254,Kepler-254,1389.48,288.165,45.8164,,5957,0.91,0.849,-0.12491,3
Kepler_1811,Kepler-1811,1390.56,289.979,40.1428,,5561,1.19,0.946,0.1541,1
Kepler_1615,Kepler-1615,1393.83,286.359,42.2274,,5865,1.05,1.04,0.38923,1
Kepler_771,Kepler-771,1393.85,287.444,38.0884,,5906,1.05,1.03,0.3549,1
Kepler_708,Kepler-708,1394.22,293.816,42.2125,,5692,0.96,0.97,0.03695,1
Kepler_1889,Kepler-1889,1395.13,297.199,41.2264,,5646,0.817,0.864,0.21977,1
Kepler_611,Kepler-611,1395.56,286.005,45.4803,,5761,1.01,1.01,0.38338,1
Kepler_1407,Kepler-1407,1396.41,283.942,41.4716,,6010,1.15,1.1,0.27131,1
CoRoT_21,CoRoT-21,1398.83,101.053,-0.299154,F8 IV,6200,1.95,1.29,0.705,1
Kepler_302,Kepler-302,1402.58,294.317,43.6292,,5740,1.22,1.021,0.04949,2
Kepler_1016,Kepler-1016,1402.82,294.614,45.9846,,5821,1,0.99,0.12363,2
Kepler_1835,Kepler-1835,1404.38,280.315,43.9857,,5903,0.961,0.922,0.07829,1
Kepler_1299,Kepler-1299,1404.94,286.15,37.4113,,5609,0.91,0.94,-0.10621,1
Kepler_1174,Kepler-1174,1408.75,281.831,42.2989,,5936,1.04,1.04,0.55531,1
